ds,y
2020-01-22,17
2020-01-23,18
2020-01-24,26
2020-01-25,42
2020-01-26,56
2020-01-27,82
2020-01-28,131
2020-01-29,133
2020-01-30,171
2020-01-31,213
2020-02-01,259
2020-02-02,362
2020-02-03,426
2020-02-04,492
2020-02-05,564
2020-02-06,634
2020-02-07,719
2020-02-08,806
2020-02-09,906
2020-02-10,1013
2020-02-11,1113
2020-02-12,1118
2020-02-13,1371
2020-02-14,1523
2020-02-15,1666
2020-02-16,1770
2020-02-17,1868
2020-02-18,2008
2020-02-19,2123
2020-02-20,2248
2020-02-21,2252
2020-02-22,2459
2020-02-23,2470
2020-02-24,2630
2020-02-25,2710
2020-02-26,2771
2020-02-27,2814
2020-02-28,2873
2020-02-29,2942
2020-03-01,2996
2020-03-02,3085
2020-03-03,3160
2020-03-04,3255
2020-03-05,3348
2020-03-06,3460
2020-03-07,3559
2020-03-08,3803
2020-03-09,3987
2020-03-10,4266
2020-03-11,4611
2020-03-12,4916
2020-03-13,5413
2020-03-14,5831
2020-03-15,6471
2020-03-16,7151
2020-03-17,7957
2020-03-18,8856
2020-03-19,9966
2020-03-20,11442
2020-03-21,13151
2020-03-22,14853
2020-03-23,16777
2020-03-24,19051
2020-03-25,21836
2020-03-26,24849
2020-03-27,28380
2020-03-28,32077
2020-03-29,35555
2020-03-30,39733
2020-03-31,44629
2020-04-01,50212
2020-04-02,56549
2020-04-03,62578
2020-04-04,68458
2020-04-05,73497
2020-04-06,79399
2020-04-07,87437
2020-04-08,94235
2020-04-09,101947
2020-04-10,109241
2020-04-11,115391
2020-04-12,121172
2020-04-13,126977
2020-04-14,133958
2020-04-15,142368
2020-04-16,149718
2020-04-17,158639
2020-04-18,165160
2020-04-19,169711
2020-04-20,175201
2020-04-21,182456
2020-04-22,189266
2020-04-23,196102
2020-04-24,202817
2020-04-25,208413
2020-04-26,212277
2020-04-27,216950
2020-04-28,223494
2020-04-29,230251
2020-04-30,236201
2020-05-01,241358
2020-05-02,246782
2020-05-03,250198
2020-05-04,254330
2020-05-05,260248
2020-05-06,266817
2020-05-07,272160
2020-05-08,277701
2020-05-09,281905
2020-05-10,285434
2020-05-11,288885
2020-05-12,294426
2020-05-13,299618
2020-05-14,304819
2020-05-15,310020
2020-05-16,314115
2020-05-17,317347
2020-05-18,320630
2020-05-19,325370
2020-05-20,330225
2020-05-21,334957
2020-05-22,340178
2020-05-23,344113
2020-05-24,347197
2020-05-25,348367
2020-05-26,352575
2020-05-27,357776
2020-05-28,362414
2020-05-29,367062
2020-05-30,371152
2020-05-31,373990
2020-06-01,377038
2020-06-02,381794
2020-06-03,387276
2020-06-04,392392
2020-06-05,397047
2020-06-06,400871
2020-06-07,403586
2020-06-08,407283
2020-06-09,412116
2020-06-10,417236
2020-06-11,421941
2020-06-12,426175
2020-06-13,430349
2020-06-14,433725
2020-06-15,437141
2020-06-16,443896
2020-06-17,449079
2020-06-18,454044
2020-06-19,460228
2020-06-20,464421
2020-06-21,468402
2020-06-22,471950
2020-06-23,477195
2020-06-24,482397
2020-06-25,487113
2020-06-26,491842
2020-06-27,496281
2020-06-28,499379
2020-06-29,503099
2020-06-30,508141
2020-07-01,513086
2020-07-02,518186
2020-07-03,523109
2020-07-04,527470
2020-07-05,530937
2020-07-06,534755
2020-07-07,540790
2020-07-08,546070
2020-07-09,551496
2020-07-10,556812
2020-07-11,561589
2020-07-12,565557
2020-07-13,569394
2020-07-14,574994
2020-07-15,580447
2020-07-16,586220
2020-07-17,592881
2020-07-18,598494
2020-07-19,602537
2020-07-20,606718
2020-07-21,612889
2020-07-22,619821
2020-07-23,629750
2020-07-24,635796
2020-07-25,641342
2020-07-26,645001
2020-07-27,650180
2020-07-28,656487
2020-07-29,663092
2020-07-30,669111
2020-07-31,675304
2020-08-01,680782
2020-08-02,685071
2020-08-03,689394
2020-08-04,696344
2020-08-05,703300
2020-08-06,709785
2020-08-07,716083
2020-08-08,721488
2020-08-09,726030
2020-08-10,730961
2020-08-11,737380
2020-08-12,743989
2020-08-13,750230
2020-08-14,760374
2020-08-15,765718
2020-08-16,769904
